Name,Titel,Position,Organisation,Fachgebiet,Expertise,Email,LinkedIn,Twitter,Website,Standort,Tags,Letzte Aktualisierung
Benno Siebern,,,,,KI Ecosystem,,,,,,KI Ecosystem; Speaker,
Berkan Cinar,,,,,Startup,,,,,,Startup; Mitgründer,
Bernhard Nebel,,,,,Akademisch,,,,,,Akademisch; Wissensrepräsentation und Schlussfolgern/Planen,
Bernhard Pflugfelder,,,,,,,,,,,Head of Innovation Lab (GenAI),
Bernhard Schölkopf,,,,,Akademisch,,,,,,Akademisch; Direktor,
Bettina Stark-Watzinger,,,,,Politik,,,,,,Politik; Ministerin,
Brad Lightcap,,,,,Tech,,,,,,Tech; Chief Operating Officer,
Brett Adcock,,,,,Technology,,,,,,Technology; Founder & CEO,
Brian Comiskey,,,,,Analyse,,,,,,Analyse; Thematic Programs Director,
Brian Tong,,,,,Technologie,,,,,,Technologie; Host für technische Produkte,
Britta Tilsner,,,,,,,,,,,Head of Ecosystem,
Bryan Goodman,,,,,Auto,,,,,,Auto; Director of Artificial Intelligence,
Burkhard Sagemüller,,,,,Landwirtschaft,,,,,,Landwirtschaft; Entwicklungsleiter,
Céline Isabel Titz,,,,,Task Management,,,,,,Task Management; AI und Task Management Expertin,
Carlo Feldmann,,,,,KI und Objekterkennung,,,,,,KI und Objekterkennung; Teamleitung Automation,
Catherine D. Wood,,,,,Finance,,,,,,Finance; Chief Executive Officer/Chief Investment Officer,
Chris Bedi,,,,,Tech,,,,,,Tech; Chief Digital Information Officer,
Chris Boos,,,,,Unternehmenssprecher; Zukunftsforscher,,,,,,"Unternehmenssprecher; Zukunftsforscher; Gründer & CEO, Mitglied 'Digital Council'",
Chrissie Kemp,,,,,Auto,,,,,,Auto; Chief Data & AI Officer,
Christian Schlicht,,,,,Legal,,,,,,Legal; Judge,
Christian Szegedy,,,,,Tech,,,,,,Tech; Research Scientist and Co-Founder,
Christina-Maria Leeb,,,,,Legal,,,,,,Legal; Judge,
Christine Regitz,,,,,Akademisch,,,,,,Akademisch; Vizepräsidentin und Jurymitglied,
Christoph J.F. Schreiber,,,,,Geschäftsführung,,,,,,Geschäftsführung; CEO,
Christoph Lütge,,,,,,,,,,,Direktor,
Clara Shih,,,,,Tech,,,,,,Tech; Chief Executive Officer,
Claudia Pohlink,,,,,Verkehr,,,,,,Verkehr; Keine spezifische Rolle genannt,
Dade Orgeron,,,,,Media,,,,,,Media; VP of 3D Strategy,
Daniel Hauber,,,,,KI Anwendung,,,,,,KI Anwendung; Speaker,
Daniel Katz,,,,,Akademiker,,,,,,"Akademiker; Professor, co-founder of LexPredict",
Daphne Koller,,,,,Tech & Academia,,,,,,"Tech & Academia; Founder and CEO, Adjunct Professor of Computer Science",
David Ha,,,,,Tech Industry,,,,,,Tech Industry; KI-Experte,
David Koch,,,,,Forschung,,,,,,Forschung; Wissenschaftlicher Mitarbeiter,
David Kuczek,,,,,VC,,,,,,VC; Partner,
Davide Scaramuzza,,,,,Academia,,,,,,"Academia; Professor & Director, Robotics and Perception Group",
Deepa Gautam-Nigge,,,,,Innovation Manager; Diversity Advocate,,,,,,Innovation Manager; Diversity Advocate; VP Corporate Development,
Dennis Ballwieser,,,,,Medien,,,,,,Medien; Chefredakteur,
Desiree Modic,,,,,,,,,,,Head of AI Strategy & Transformation,
Diana Stracke,,,,,,,,,,,Director of People & Organization,
Dilan Mienert,,,,,,,,,,,0,
Dirk Hecker,,,,,Wissenschaftlich,,,,,,"Wissenschaftlich; Geschäftsführer, beteiligt am Projekt Open GPT-X",
Dirk Rosomm,,,,,Transformation,,,,,,Transformation; Transformationsexperte,
Don Dahlmann,,,,,Medien,,,,,,Medien; Journalist,
Dor Skuler,,,,,Künstliche Intelligenz; Technologie,,,,,,Künstliche Intelligenz; Technologie; CEO und Mitbegründer,
Doris Weßels,,,,,Wissenschaft,,,,,,Wissenschaft; Professorin für Wirtschaftsinformatik,
Dorothee Töreki,,,,,Wirtschaft,,,,,,"Wirtschaft; Digitalisierung & Kollaboration Vordenkerin, LinkedIn Top Voice",
Dr. Andreas Liebl,Dr.,,,,,,,,,,Managing Director and Founder,
Dr. Anne Förster,Dr.,,,,,,,,,,Rechtsanwalt und Steuerberater,
Dr. Annina Neumann,Dr.,,,,Bildung,,,,,,Bildung; Professorin für KI und Software Engineering,
Dr. Benedikt Flöter,Dr.,,,,,,,,,,Rechtsanwalt und Steuerberater,
Dr. Benedikt Kohn,Dr.,,,,,,,,,,Rechtsanwalt und Steuerberater,
Dr. Benjamin Goertzel,Dr.,,,,Forscher; Kultfigur,,,,,,Forscher; Kultfigur; CEO,
Dr. Christoph Cordes,Dr.,,,,,,,,,,Rechtsanwalt und Steuerberater,
Dr. Claire Quigley,Dr.,,,,Informatik / Bildung,,,,,,"Informatik / Bildung; Informatikerin, Mitwirkende",
Dr. Dominik Rabe,Dr.,,,,,,,,,,0,
Dr. Donald Leonhard-MacDonald,Dr.,,,,,,,,,,Director of Technology Expertise,
Dr. Fabian Bause,Dr.,,,,Automatisierungstechnik,,,,,,Automatisierungstechnik; Produktmanager TwinCAT,
Dr. Florian Schütz,Dr.,,,,Zukunftsforscher,,,,,,Zukunftsforscher; Geschäftsführer,
Dr. Gerald Fricke,Dr.,,,,Akademisch,,,,,,"Akademisch; Wirtschaftsinformatiker, Politikwissenschaftler, Autor",
Dr. Gerald Spiegel,Dr.,,,,,,,,,,0,
Dr. Hans-Joachim Gergs,Dr.,,,,Wirtschaft,,,,,,"Wirtschaft; Leitender Change Manager, Gründer des Instituts für empirische Organisationsforschung",
Dr. Harald Schönfeld,Dr.,,,,Beratung,,,,,,Beratung; Geschäftsführer,
Dr. Holger Schmidt,Dr.,,,,Wirtschaft,,,,,,Wirtschaft; Digital Economist & Speaker,
Dr.-Ing. Dipl.-Inform. Thomas Röfer,Dr.,,,,Wissenschaft,,,,,,Wissenschaft; Organisationsleiter für Cyber-Physical Systems,
Dr. Inka Knappertsbusch,Dr.,,,,,,,,,,Rechtsanwalt und Steuerberater,
Dr. iur. Pablo Schumacher,Dr.,,,,Rechtsanwalt,,,,,,Rechtsanwalt; Referent für Digital Content & Licensing,
Dr. Johanna Farnhammer,Dr.,,,,,,,,,,Head of KIT+,
Dr. Jonas Brinker,Dr.,,,,Podcast,,,,,,Podcast; KI-Experte,
Dr. Kai Bender,Dr.,,,,Strategieberatung,,,,,,Strategieberatung; Deutschlandchef der Strategieberatung,
Dr. KP Thai,Dr.,,,,Forscher,,,,,,Forscher; Data and Learning Scientist,
Dr. Malte Baumann,Dr.,,,,,,,,,,Rechtsanwalt,
Dr. Mario Herger,Dr.,,,,Technologie,,,,,,Technologie; Zukunftsforscher,
Dr. Marko Wolf,Dr.,,,,,,,,,,0,
Dr. Matthias Klusch,Dr.,,,,Akademisch,,,,,,Akademisch; Sprecher,
Dr. Matthias Plaue,Dr.,,,,Forscher,,,,,,Forscher; Chief Data Scientist,
"Dr. Maximilian Vonthien, LLM",Dr.,,,,,,,,,,Rechtsanwalt und Steuerberater,
Dr. Miguel de Benito,Dr.,,,,,,,,,,Head of Innovation Lab (RIL),
Dr. Mustafa Gaja,Dr.,,,,,,,,,,Head of AI Engineering Team,
Dr. Nadja Christe,Dr.,,,,,,,,,,0,
Dr. Nicolai Wiegand,Dr.,,,,,,,,,,Rechtsanwalt und Steuerberater,
Dr. Patrick Stähler,Dr.,,,,Wirtschaft,,,,,,"Wirtschaft; Partner, Autor",
Dr. Pavel Sagulenko,Dr.,,,,,,,,,,Head of IT,
Dr. Philipp Hartmann,Dr.,,,,,,,,,,Director of AI Strategy & Enablement,
Dr. Ralf Belusa,Dr.,,,,Wirtschaft,,,,,,Wirtschaft; Digital Manager,
Dr. Rasmus Rothe,Dr.,,,,Unternehmenssprecher; Zukunftsforscher,,,,,,"Unternehmenssprecher; Zukunftsforscher; Gründer, Co-Founder",
Dr. Stefan Lemke,Dr.,,,,IT & KI,,,,,,IT & KI; Vortragender bei Fachkonferenz,
Dr. Thiemo Scherle,Dr.,,,,,,,,,,Head of Product,
Dr. Thomas Wollmann,Dr.,,,,Maschinelles Lernen / KI,,,,,,Maschinelles Lernen / KI; Experte für Maschinelles Lernen und KI-Infrastruktur,
Dr. Benedikt Flöter,Dr.,,,,Steuerrecht; Rechtsberatung; Legal Tech,,,,,,Legal Tech; Steuerrecht; Digitalisierung; Rechtsberatung,
Edith Hessel,,,,,Biotech,,,,,,Biotech; Chief Scientific Officer,
Elisabeth André,,,,,Akademisch,,,,,,"Akademisch; Mensch-Maschine-Interaktion, Multiagentensysteme",
Elisabeth Asser,,,,,Keine spezifische Rolle,,,,,,Keine spezifische Rolle; Keine spezifische Rolle genannt,
Eric Steinberger und Sebastian De Ro,,,,,Start-up,,,,,,Start-up; Gründer,
Ermano Geuer,,,,,Legal,,,,,,Legal; 0,
Test,,,,,,,,,,,,
Rodion (Rodja) Trappe,,,,,Handwerk,,,,,,Handwerk; Geschäftsführer,
Dr. Maria Koch,Senior AI Researcher,,,,Computer Vision; Natural Language Processing; Reinforcement Learning,,,,,,,
Martin Agethen,,,,,,,,,,,0,
Prof. Dr. Christoph Bauer,Prof. Dr.,,,,,,,,,,0,
Thomas Bauer,,,,,,,,,,,0,
Stefanie Bauer,,,,,,,,,,,0,
Prof. Alexander Koch,Professor für KI und ML,,,,Neural Networks; Machine Learning; Deep Learning,,,,,,,
PD Dr. Alexander Schulz,Senior AI Researcher,,,,Neural Networks; Machine Learning; AI Ethics,,,,,,,
Dr. Thomas Meyer,Senior AI Researcher,,,,AI Ethics; Deep Learning; Neural Networks,,,,,,,
Jonas von Dall’Armi,,,,,,,,,,,0,
Prof. Dr. Sophie Koch,Professor für KI und ML,,,,Natural Language Processing; Reinforcement Learning; AI Ethics,,,,,,,
Dr. Maria Schmidt,Senior AI Researcher,,,,Natural Language Processing; Robotics; Quantum AI,,,,,,,
Mareike Gehrmann,,,,,,,,,,,Rechtsanwalt und Steuerberater,
PD Dr. Laura Wagner,Senior AI Researcher,,,,Machine Learning; Deep Learning; Reinforcement Learning,,,,,,,
Prof. Michael Hoffmann,Professor für KI und ML,,,,Robotics; Reinforcement Learning; Computer Vision,,,,,,,
Tobias Kutscheidt,,,,,,,,,,,0,
PD Dr. Sophie Weber,Senior AI Researcher,,,,Quantum AI; AI Ethics; Deep Learning,,,,,,,
PD Dr. Julia Meyer,Senior AI Researcher,,,,Computer Vision; Quantum AI; Reinforcement Learning,,,,,,,
Prof. Laura Schmidt,Professor für KI und ML,,,,Quantum AI; Explainable AI; Machine Learning,,,,,,,
René Schneider,,,,,,,,,,,0,
Maike Scholz,,,,,,,,,,,0,
Marie Slowioczek,,,,,,,,,,,0,
PD Dr. Christian Müller,Senior AI Researcher,,,,Computer Vision; Machine Learning; Explainable AI,,,,,,,
Ilka-Maria Sühling,,,,,,,,,,,0,
Dr. Christian Schmidt,Senior AI Researcher,,,,Neural Networks; Robotics; Deep Learning,,,,,,,
PD Dr. Sophie Müller,Senior AI Researcher,,,,Machine Learning; Robotics; Reinforcement Learning,,,,,,,
Prof. Christian Becker,Professor für KI und ML,,,,Natural Language Processing; Explainable AI; Quantum AI,,,,,,,
Karl Moritz Hermann,,,,,Invetment,,,,,,Invetment; CEO,
Fredrik Bergenlid,,,,,Invetment,,,,,,Invetment; Partner & CTO,
Gabriel Matuschka,,,,,Invetment,,,,,,Invetment; Partner,
Marie Brayer,,,,,Invetment,,,,,,Invetment; Partner,
Matt Wichrowski,,,,,Invetment,,,,,,Invetment; Partner,
Roméo Walter,,,,,Invetment,,,,,,Invetment; Associate,
Steven Tran,,,,,Invetment,,,,,,Invetment; Operating Partner,
Prof. Dr. Michael Wagner,Professor für KI und ML,,,,Natural Language Processing; Robotics; Computer Vision,,,,,,,
Richard Susskind,,,,,Experte,,,,,,"Experte; Author, speaker on the future of legal professions",
Prof. Dr. Alexander Wagner,Professor für KI und ML,,,,Computer Vision; Machine Learning; Deep Learning,,,,,,,
Katie Atkinson,,,,,Akademiker,,,,,,"Akademiker; Professor, researcher in AI and legal informatics",
Richard Gutjahr,,,,,Persönlichkeit,,,,,,"Persönlichkeit; Blogger, Digitalexperte, Influencer, Moderator, Autor, Karikaturist",
PD Dr. Laura Hoffmann,Senior AI Researcher,,,,Machine Learning; Natural Language Processing; Computer Vision,,,,,,,
Prof. Dr. Thomas Koch,Professor für KI und ML,,,,Natural Language Processing; Deep Learning; Computer Vision,,,,,,,
Prof. Dr. Anna Müller,Professor für KI und ML,,,,AI Ethics; Neural Networks; Quantum AI,,,,,,,
Dr. Maria Fischer,Senior AI Researcher,,,,Neural Networks; Computer Vision; Deep Learning,,,,,,,
Rade Milinkovic,,,,,,,,,,,Director of Finance,
Johannes Keller,,,,,,,,,,,Director of Individual Solutions,
Prof. Dr. Anna Müller,Professor für KI und ML,,,,Neural Networks; Natural Language Processing; Deep Learning,,,,,,,
John Thomson,,,,,,,,,,,Head of Capabilities,
Dr. Michael Müller,Senior AI Researcher,,,,Computer Vision; Deep Learning; AI Ethics,,,,,,,
Samantha Warren,,,,,,,,,,,Head of Marketing & Communications,
Nicolas Blum,,,,,,,,,,,Head of AI Engineering Team,
Till Klein,,,,,,,,,,,Head of Trustworthy AI,
Dr. Martin Becker,Senior AI Researcher,,,,Explainable AI; Natural Language Processing; Quantum AI,,,,,,,
PD Dr. Anna Koch,Senior AI Researcher,,,,Explainable AI; Computer Vision; Natural Language Processing,,,,,,,
Prof. Laura Becker,Professor für KI und ML,,,,Neural Networks; Computer Vision; Natural Language Processing,,,,,,,
Prof. Martin Weber,Professor für KI und ML,,,,Natural Language Processing; Deep Learning; Reinforcement Learning,,,,,,,
Prof. Dr. Julia Weber,Professor für KI und ML,,,,Natural Language Processing; Deep Learning; Neural Networks,,,,,,,
Prof. Alexander Koch,Professor für KI und ML,,,,Computer Vision; Machine Learning; Deep Learning,,,,,,,
Prof. Sophie Becker,Professor für KI und ML,,,,Neural Networks; Robotics; Quantum AI,,,,,,,
Jannik Seger,,,,,,,,,,,Head of AI Operating Model,
Dr. Anna Weber,Senior AI Researcher,,,,Quantum AI; Robotics; AI Ethics,,,,,,,
Prof. Dr. Christian Koch,Professor für KI und ML,,,,Explainable AI; Deep Learning; AI Ethics,,,,,,,
Sladjana Schmidt,,,,,,,,,,,Head of Partner Interaction,
Hicham Samma,,,,,,,,,,,Senior People & Culture Specialist,
Myriam Warzecha,,,,,,,,,,,Senior People & Culture Specialist,
Juliane Haspel,,,,,,,,,,,Senior People & Culture Specialist,
Dr. Alexander Weber,Senior AI Researcher,,,,Computer Vision; Neural Networks; AI Ethics,,,,,,,
Prof. Dr. Björn Ommer,Prof. Dr.,,,,Akademiker,,,,,,Akademiker; Head of Computer Vision & Learning Group,
Prof. Dr. Alexander Becker,Professor für KI und ML,,,,Explainable AI; Machine Learning; Neural Networks,,,,,,,
Wilfried Bernhardt,,,,,Legal/Technology,,,,,,Legal/Technology; Professor,
Prof. Sophie Müller,Professor für KI und ML,,,,Machine Learning; Computer Vision; Reinforcement Learning,,,,,,,
Til Bußmann-Welsch,,,,,Legal/Technology,,,,,,Legal/Technology; 0,
Martin Schmidt-Kessel,,,,,Legal,,,,,,Legal; Professor,
Simon Heetkamp,,,,,Legal,,,,,,Legal; Professor,
Isabelle Biallaß,,,,,Legal,,,,,,Legal; 0,
Thomas Riehm,,,,,Legal,,,,,,Legal; Professor,
Thorsten Hotz,,,,,Legal,,,,,,Legal; 0,
Tobias Starnecker,,,,,Legal,,,,,,Legal; 0,
Katherine Kitur,,,,,Legal,,,,,,Legal; 0,
Robert Faußner,,,,,Legal,,,,,,Legal; 0,
Hermann Waldhauser,,,,,Legal,,,,,,Legal; Doctor/Legal Professional,
Marc Maisch,,,,,Legal,,,,,,Legal; Doctor/Legal Professional,
Gabriel Rackl,,,,,Legal,,,,,,Legal; 0,
Luisa Lorenz,,,,,Legal,,,,,,Legal; 0,
Rebeca-Sophia Scheu,,,,,Legal,,,,,,Legal; 0,
Florian Seiter,,,,,Legal,,,,,,Legal; 0,
Prof. Dr. Maria Müller,Professor für KI und ML,,,,Machine Learning; Deep Learning; Explainable AI,,,,,,,
Kim Komando,,,,,Unterhaltungselektronik; Sicherheit; Technologie,,,,,,Unterhaltungselektronik; Sicherheit; Technologie; Radiomoderatorin,
Richard Socher,,,,,Künstliche Intelligenz; Suchmaschine,,,,,,"Künstliche Intelligenz; Suchmaschine; Gründer, KI-Experte",
Sebastian Matthes,,,,,KI-Spezial,,,,,,KI-Spezial; Chefredakteur,
Larissa Holzki,,,,,KI-Spezial,,,,,,KI-Spezial; KI-Teamleiterin,
Stephan Scheuer,,,,,KI-Spezial,,,,,,KI-Spezial; Silicon-Valley-Korrespondent,
Prof. Thomas Meyer,Professor für KI und ML,,,,Computer Vision; AI Ethics; Machine Learning,,,,,,,
Mina Saidze,,,,,Daten- und KI-Expertin; Diversität im Tech-Sektor; KI-Ethik,,,,,,"Daten- und KI-Expertin; Diversität im Tech-Sektor; KI-Ethik; Gründerin, Data & AI Lead, Autorin",
Prof. Dr. Alexander Schulz,Professor für KI und ML,,,,Robotics; Reinforcement Learning; Natural Language Processing,,,,,,,
Tamay Besiroglu,,,,,Research,,,,,,Research; Associate Director,
Prof. Dr. Maria Becker,Professor für KI und ML,,,,Robotics; AI Ethics; Computer Vision,,,,,,,
PD Dr. Christian Müller,Senior AI Researcher,,,,Reinforcement Learning; Explainable AI; Deep Learning,,,,,,,
Prof. Martin Hoffmann,Professor für KI und ML,,,,Reinforcement Learning; Neural Networks; Computer Vision,,,,,,,
Prof. Dr. Christian Becker,Professor für KI und ML,,,,Computer Vision; Explainable AI; Robotics,,,,,,,
Philipp Hühne,,,,,Unternehmensberatung,,,,,,Unternehmensberatung; Digital Communication Specialist,
Prof. Thomas Koch,Professor für KI und ML,,,,Machine Learning; Natural Language Processing; Explainable AI,,,,,,,
Ruppert Bodmeier,,,,,Disruptive Innovation,,,,,,Disruptive Innovation; Gründer und Geschäftsführer,
Janet Zentel,,,,,Autorin; Coach; Unternehmerin,,,,,,Autorin; Coach; Unternehmerin; ki-frauenpower.de,
Viktor Foos,,,,,Chat GPT,,,,,,"Chat GPT; Content Creator, Videograf, Cutter",
PD Dr. Thomas Fischer,Senior AI Researcher,,,,Natural Language Processing; Machine Learning; Deep Learning,,,,,,,
PD Dr. Christian Fischer,Senior AI Researcher,,,,Machine Learning; Neural Networks; AI Ethics,,,,,,,
Dr. Maria Schmidt,Senior AI Researcher,,,,Natural Language Processing; Quantum AI; Computer Vision,,,,,,,
Lukas Hüttis,,,,,KI Anwendung,,,,,,KI Anwendung; Speaker,
Prof. Dr. Christian Fischer,Professor für KI und ML,,,,Machine Learning; Neural Networks; Explainable AI,,,,,,,
Stefan Beier,,,,,KI Anwendung,,,,,,KI Anwendung; Speaker,
Matze Brandmüller,,,,,KI Anwendung,,,,,,KI Anwendung; Speaker,
Gary Vaynerchuck,,,,,Special Event,,,,,,Special Event; Special Guest,
Markus Habermehl,,,,,KI Anwendung,,,,,,KI Anwendung; Speaker,
Prof. Anna Hoffmann,Professor für KI und ML,,,,Machine Learning; AI Ethics; Robotics,,,,,,,
Dr. Christian Hoffmann,Senior AI Researcher,,,,Machine Learning; Robotics; Computer Vision,,,,,,,
Gregor Schmalzried,,,,,Digitale Medien,,,,,,"Digitale Medien; Netzjournalist, Podcaster",
Dr. Alexander Schulz,Senior AI Researcher,,,,Robotics; AI Ethics; Reinforcement Learning,,,,,,,
Hendrik Haverkamp,,,,,Bildung,,,,,,Bildung; Digital Coordinator,
PD Dr. Michael Schulz,Senior AI Researcher,,,,Robotics; Neural Networks; Machine Learning,,,,,,,
Nicole Büttner-Thiel,,,,,Tech entrepreneur; investor; supervisory board member,,,,,,Tech entrepreneur; investor; supervisory board member; Founder & CEO,
Dr. Michael Weber,Senior AI Researcher,,,,Machine Learning; Neural Networks; Deep Learning,,,,,,,
Simon Blake,,,,,Innovationsberatung,,,,,,Innovationsberatung; Geschäftsführer,
Peter Sarlin,,,,,KI-Technologie,,,,,,KI-Technologie; CEO & Mitbegründer,
Mirjam Hecking,,,,,Nachrichten/Redaktion,,,,,,Nachrichten/Redaktion; Themenredakteurin,
Prof. Dr. Thomas Meyer,Professor für KI und ML,,,,Quantum AI; AI Ethics; Reinforcement Learning,,,,,,,
Prof. Dr. Michael Huth,Prof. Dr.,,,,Universität,,,,,,Universität; Professor für Künstliche Intelligenz,
Prof. Dr. Gerard de Melo,Prof. Dr.,,,,Universität,,,,,,Universität; Professor,
Uwe Falkenberg,,,,,IT-Strategiemanagement,,,,,,IT-Strategiemanagement; Global Account Technology Strategist,
Johannes Sommer,,,,,KI-Spezialist,,,,,,KI-Spezialist; CEO,
Hilary Lamb,,,,,Journalismus / Beratung,,,,,,"Journalismus / Beratung; Beraterin, Wissenschafts- und Technologiejournalistin",
Prof. Dr. Maria Meyer,Professor für KI und ML,,,,Deep Learning; Machine Learning; Natural Language Processing,,,,,,,
Juan Señor,,,,,Medienberatung,,,,,,Medienberatung; Vorsitzender,
Dr. Sophie Wagner,Senior AI Researcher,,,,Reinforcement Learning; Computer Vision; Natural Language Processing,,,,,,,
Prof. Dr. Julia Fischer,Professor für KI und ML,,,,AI Ethics; Neural Networks; Explainable AI,,,,,,,
Jannis Doppmeier,,,,,Automatisierungstechnik,,,,,,Automatisierungstechnik; Produktmanager TwinCAT,
Prof. Dr. Maria Koch,Professor für KI und ML,,,,Machine Learning; Computer Vision; Quantum AI,,,,,,,
Jennifer Moore-Braun,,,,,Corporate Communication,,,,,,"Corporate Communication; Transformation Office, Corporate Communications and Government Relations",
Mona Riemenschneider,,,,,Corporate Communication,,,,,,"Corporate Communication; GenAI und Online Communications Manager, Agricultural Solutions",
Oliver Claas,,,,,Kommunikation / PR,,,,,,Kommunikation / PR; Leitender Redakteur für strategischen Content und Pressesprecher,
Oliver Nickel,,,,,Technologiejournalismus,,,,,,Technologiejournalismus; Redakteur,
Volker Kunze,,,,,XR & Digital Learning Innovator,,,,,,XR & Digital Learning Innovator; Tech Innovator & Award-Winner,
Sascha Pallenberg,,,,,Technologieblogging / Nachhaltigkeit,,,,,,Technologieblogging / Nachhaltigkeit; Head of Digital Transformation / Chief Awareness Officer,
Simon Graff,,,,,Technologiebildung und Innovation,,,,,,Technologiebildung und Innovation; Emerging Tech Educator / Founder / President,
Prof. Dr. Kristian Kersting,Prof. Dr.,,,,Forschung in Künstlicher Intelligenz,,,,,,Forschung in Künstlicher Intelligenz; Leiter des Forschungsbereichs Grundlagen der Systemischen KI,
PD Dr. Julia Wagner,Senior AI Researcher,,,,AI Ethics; Machine Learning; Deep Learning,,,,,,,
Prof. Wolfgang Maass,Prof.,,,,Wissenschaft / KI und Quantensimulation,,,,,,Wissenschaft / KI und Quantensimulation; Professor / Forschungsprojektleiter,
Hannah Stein,,,,,Wissenschaft / KI und Quantensimulation,,,,,,Wissenschaft / KI und Quantensimulation; Wissenschaftliche Mitarbeiterin,
Prof. Dr. Alexander Hoffmann,Professor für KI und ML,,,,Neural Networks; Quantum AI; Machine Learning,,,,,,,
Professor Wolfgang Maaß,,,,,Wissenschaft,,,,,,Wissenschaft; Professor,
Prof. Sophie Hoffmann,Professor für KI und ML,,,,Machine Learning; Reinforcement Learning; Explainable AI,,,,,,,
Dr. Anna Hoffmann,Senior AI Researcher,,,,Explainable AI; Neural Networks; Machine Learning,,,,,,,
Dr. Michael Wagner,Senior AI Researcher,,,,Explainable AI; Deep Learning; AI Ethics,,,,,,,
Lorena Göritz,,,,,Wissenschaft,,,,,,Wissenschaft; Teamleiterin und Forscherin,
Julia Mayer,,,,,Wissenschaft,,,,,,Wissenschaft; Forscherin,
Tanja Schneeberger,,,,,Wissenschaft,,,,,,"Wissenschaft; Forscherin in der Gruppe ""Affective Computing""",
Phoebe Connelly,,,,,Medien,,,,,,Medien; Senior Editor für AI Strategy und Innovation,
Murray Newlands,,,,,Eventplanung,,,,,,Eventplanung; Event-Organisator und Moderator,
Jim Keller,,,,,Technologie,,,,,,Technologie; CEO und Chipdesigner,
Tobias Wagenführer,,,,,Technologie,,,,,,Technologie; Geschäftsführer,
Torsten Holler,,,,,Journalismus,,,,,,Journalismus; Autor,
